date,open,high,low,close,volume,sma_fast,sma_slow,trend_gate,rsi,sig_buy,sig_sell
2024-02-15,709.0,709.0,693.0,697.0,112945296,,,False,,False,False
2024-02-16,697.0,699.0,683.0,683.0,44232811,,,False,0.0,False,False
2024-02-19,674.0,682.0,674.0,678.0,34408673,,,False,0.0,False,False
2024-02-20,675.0,688.0,675.0,687.0,30166461,,,False,4.927649589362531,False,False
2024-02-21,678.0,683.0,678.0,681.0,30564485,,,False,4.759275939216067,False,False
2024-02-22,695.0,695.0,685.0,692.0,33145643,,,False,10.778362873085513,False,False
2024-02-23,701.0,703.0,696.0,697.0,46448923,,,False,13.455731927082638,False,False
2024-02-26,700.0,700.0,695.0,698.0,28798079,,,False,14.011499376078433,False,False
2024-02-27,700.0,701.0,691.0,698.0,33006829,,,False,14.011499376078433,False,False
2024-02-29,691.0,698.0,688.0,690.0,54368302,,,False,13.223611816710402,False,False
2024-03-01,697.0,697.0,688.0,689.0,23390635,,,False,13.124266052838905,False,False
2024-03-04,714.0,725.0,711.0,725.0,88861397,,,False,32.72038067807287,False,False
2024-03-05,735.0,738.0,728.0,730.0,64403889,,,False,34.91619985809912,False,False
2024-03-06,718.0,738.0,717.0,735.0,43687122,,,False,37.126077792529216,False,False
2024-03-07,755.0,769.0,754.0,760.0,71817344,,,False,46.84454758849881,False,False
2024-03-08,795.0,796.0,772.0,784.0,87139744,,,False,54.16852631601861,False,False
2024-03-11,768.0,778.0,761.0,766.0,64759810,,,False,48.74394889499596,False,False
2024-03-12,757.0,771.0,754.0,770.0,58110339,,,False,49.943588440788574,False,False
2024-03-13,785.0,785.0,777.0,779.0,36754557,,,False,52.630021474075086,False,False
2024-03-14,779.0,785.0,770.0,784.0,42010806,,,False,54.103711195061315,False,False
2024-03-15,771.0,777.0,753.0,753.0,73316437,,,False,44.79820766941413,False,False
2024-03-18,754.0,765.0,754.0,764.0,43589856,,,False,48.20257685758598,False,False
2024-03-19,758.0,765.0,755.0,762.0,30152375,,,False,47.627451116232855,False,False
2024-03-20,764.0,769.0,752.0,758.0,41280325,,,False,46.43416424471098,False,False
2024-03-21,773.0,784.0,772.0,784.0,46026103,,,False,54.42687931424405,False,False
2024-03-22,788.0,789.0,775.0,785.0,30660820,,,False,54.70681011679389,False,False
2024-03-25,783.0,788.0,779.0,780.0,19877101,,,False,52.95532580064727,False,False
2024-03-26,788.0,792.0,776.0,782.0,40990702,,,False,53.59531313837577,False,False
2024-03-27,785.0,785.0,779.0,779.0,18794479,,,False,52.44286012493062,False,False
2024-03-28,774.0,776.0,768.0,769.0,27190918,,,False,48.684884267193254,False,False
2024-03-29,769.0,777.0,768.0,776.0,9802000,,,False,51.31483139938532,False,False
2024-04-01,783.0,783.0,769.0,770.0,21041261,,,False,48.99686114620281,False,False
2024-04-02,784.0,790.0,783.0,790.0,37974481,,,False,56.11328004016458,False,False
2024-04-03,783.0,785.0,778.0,780.0,30890544,,,False,52.19203890051488,False,False
2024-04-08,789.0,792.0,783.0,783.0,32202226,,,False,53.24756284081282,False,False
2024-04-09,795.0,820.0,792.0,819.0,56857731,,,False,63.62586794637232,False,False
2024-04-10,815.0,819.0,810.0,815.0,27480849,,,False,61.9795534740511,False,False
2024-04-11,811.0,820.0,811.0,820.0,25200651,,,False,63.25929214003489,False,False
2024-04-12,823.0,826.0,817.0,818.0,31508936,,,False,62.35518207262943,False,False
2024-04-15,804.0,812.0,803.0,806.0,38913470,,,False,57.08356340883518,False,True
2024-04-16,802.0,803.0,785.0,788.0,49508969,,,False,50.22452526479878,False,False
2024-04-17,798.0,808.0,793.0,804.0,34472074,,,False,55.359235355310226,False,False
2024-04-18,796.0,810.0,792.0,804.0,43598591,,,False,55.359235355310226,False,False
2024-04-19,769.0,770.0,746.0,750.0,130968654,,,False,39.43586405805812,False,False
2024-04-22,740.0,757.0,740.0,742.0,46540798,,,False,37.70552640626069,False,False
2024-04-23,761.0,761.0,752.0,754.0,30423647,,,False,41.828634299537725,False,False
2024-04-24,770.0,785.0,769.0,783.0,39457128,,,False,50.37660605719629,False,False
2024-04-25,770.0,774.0,765.0,766.0,28534926,,,False,46.10008016226195,False,False
2024-04-26,788.0,789.0,782.0,782.0,32571247,,,False,50.37038475873911,False,False
2024-04-29,790.0,795.0,787.0,795.0,26765837,757.68,,False,53.58782652020072,False,False
2024-04-30,797.0,802.0,790.0,790.0,39051972,759.54,,False,52.186500152601326,False,False
2024-05-02,789.0,789.0,772.0,772.0,40527228,761.32,,False,47.382748125448614,False,False
2024-05-03,788.0,788.0,773.0,780.0,29901556,763.36,,False,49.60313227655817,False,False
2024-05-06,791.0,793.0,786.0,786.0,32599878,765.34,,False,51.264224647140885,False,False
2024-05-07,797.0,800.0,792.0,800.0,33890214,767.72,,False,54.991934123622826,False,False
2024-05-08,794.0,802.0,792.0,802.0,21757193,769.92,,False,55.515402543330445,False,False
2024-05-09,798.0,802.0,796.0,796.0,21923999,771.9,,False,53.504922291583334,False,False
2024-05-10,803.0,807.0,798.0,802.0,25101318,773.98,,False,55.25019055734032,False,False
2024-05-13,823.0,825.0,818.0,819.0,34812619,776.4,,False,59.848890933308496,False,False
2024-05-14,816.0,825.0,811.0,825.0,28691846,779.1,,False,61.358233794795936,False,False
2024-05-15,838.0,844.0,837.0,839.0,39467772,782.1,,False,64.69333154290558,False,False
2024-05-16,852.0,856.0,837.0,841.0,43927195,784.42,,False,65.15599616773346,False,False
2024-05-17,848.0,848.0,834.0,835.0,26207289,786.52,,False,62.50955700575608,False,False
2024-05-20,834.0,838.0,822.0,835.0,28808661,788.52,,False,62.50955700575607,False,False
2024-05-21,830.0,841.0,830.0,841.0,19705349,790.14,,False,64.19613638581984,False,False
2024-05-22,845.0,865.0,843.0,864.0,36628342,791.74,,False,69.80399408761478,False,False
2024-05-23,875.0,877.0,867.0,875.0,37266618,793.92,,False,72.05809154350568,False,False
2024-05-24,858.0,872.0,858.0,867.0,34136382,795.86,,False,68.077836357298,False,False
2024-05-27,872.0,878.0,866.0,869.0,26726954,797.66,,False,68.5456082735266,False,False
2024-05-28,867.0,873.0,865.0,865.0,25329216,799.28,,False,66.44840248303385,False,False
2024-05-29,861.0,868.0,856.0,857.0,33436835,801.36,,False,62.34026706535863,False,False
2024-05-30,841.0,848.0,838.0,838.0,38065102,802.84,,False,53.82848220323557,False,True
2024-05-31,838.0,846.0,821.0,821.0,77438401,804.02,,False,47.57004949740228,False,False
2024-06-03,839.0,853.0,837.0,846.0,28345488,805.78,,False,55.722882763481174,False,False
2024-06-04,844.0,851.0,837.0,839.0,28223635,806.88,,False,53.227111793711245,False,False
2024-06-05,841.0,857.0,835.0,854.0,31975446,808.26,,False,57.60864725208843,False,False
2024-06-06,893.0,899.0,885.0,894.0,62925136,810.54,,False,66.59522129777488,False,False
2024-06-07,885.0,888.0,879.0,879.0,41075399,812.48,,False,61.34350319218508,False,False
2024-06-11,892.0,895.0,883.0,883.0,48228488,814.56,,False,62.199571614243744,False,False
2024-06-12,888.0,914.0,888.0,909.0,48106925,817.36,,False,67.27288556383252,False,False
2024-06-13,923.0,935.0,911.0,919.0,55857091,820.22,,False,68.9964133533429,False,False
2024-06-14,916.0,922.0,905.0,922.0,38408123,823.26,,False,69.51509556164481,False,False
2024-06-17,913.0,925.0,913.0,921.0,26292426,825.88,,False,69.1001113357459,False,False
2024-06-18,944.0,950.0,940.0,943.0,37876013,829.14,,False,72.9289334952085,False,False
2024-06-19,953.0,984.0,953.0,981.0,72228052,833.1,,False,77.99978416065932,False,False
2024-06-20,971.0,981.0,971.0,981.0,48225374,836.34,,False,77.99978416065932,False,False
2024-06-21,961.0,978.0,960.0,970.0,88376132,839.44,,False,73.38490186917142,False,False
2024-06-24,958.0,960.0,940.0,940.0,66391994,841.84,,False,62.52056177948633,False,False
2024-06-25,925.0,945.0,923.0,945.0,57368432,844.38,,False,63.490699909834824,False,False
2024-06-26,951.0,960.0,951.0,960.0,44967166,847.46,,False,66.3082402038529,False,False
2024-06-27,951.0,961.0,949.0,960.0,39729446,850.9,,False,66.3082402038529,False,False
2024-06-28,956.0,971.0,955.0,966.0,39138210,854.14,,False,67.47275048614202,False,False
2024-07-01,968.0,977.0,965.0,968.0,19935737,857.42,,False,67.87138515193624,False,False
2024-07-02,967.0,971.0,959.0,960.0,25427569,861.62,,False,64.467959105881,False,False
2024-07-03,976.0,979.0,967.0,979.0,24070411,866.36,,False,68.50711281394963,False,False
2024-07-04,1000.0,1010.0,997.0,1005.0,41893299,871.38,,False,73.0258976127864,False,False
2024-07-05,1005.0,1010.0,1000.0,1005.0,19998094,875.82,,False,73.0258976127864,False,False
2024-07-08,1005.0,1050.0,1000.0,1035.0,40146763,881.2,,False,77.37093120081798,False,False
2024-07-09,1030.0,1055.0,1025.0,1040.0,46373121,886.36,,False,78.00680067931418,False,False
2024-07-10,1020.0,1050.0,1015.0,1045.0,46206302,891.36,,False,78.6527925468627,False,False
2024-07-11,1065.0,1080.0,1055.0,1080.0,41724336,897.16,,False,82.52266443986983,False,False
2024-07-12,1030.0,1045.0,1025.0,1040.0,68983062,902.52,,False,67.46916463542316,False,False
2024-07-15,1040.0,1045.0,1025.0,1040.0,38393309,907.72,,False,67.46916463542316,False,False
2024-07-16,1040.0,1070.0,1035.0,1055.0,32125609,913.1,,False,69.86029814577728,False,False
2024-07-17,1035.0,1045.0,1020.0,1030.0,54022399,917.7,,False,61.71788593886881,False,False
2024-07-18,988.0,1005.0,986.0,1005.0,81990095,921.76,,False,54.835075918490766,False,True
2024-07-19,988.0,995.0,970.0,970.0,92507621,925.24,,False,46.94226808396502,False,False
2024-07-22,964.0,965.0,938.0,939.0,83062356,927.98,,False,41.275404581987836,False,False
2024-07-23,963.0,979.0,956.0,979.0,47213266,931.18,,False,49.71131472635318,False,False
2024-07-26,915.0,930.0,915.0,924.0,82081735,933.16,,False,40.99173432361574,False,False
2024-07-29,942.0,948.0,936.0,944.0,40809258,935.26,,False,44.78447813364433,False,False
2024-07-30,930.0,949.0,926.0,940.0,41761392,937.24,,False,44.17295652929475,False,False
2024-07-31,929.0,940.0,928.0,934.0,39894991,939.22,,False,43.21963086944319,False,False
2024-08-01,969.0,969.0,948.0,960.0,47382270,941.72,,False,48.41498501368698,False,False
2024-08-02,918.0,928.0,903.0,903.0,76144485,942.96,,False,39.81415052411981,False,False
2024-08-05,852.0,857.0,813.0,815.0,144057989,941.98,,False,30.73594744932808,False,False
2024-08-06,868.0,895.0,840.0,880.0,102930842,942.08,,False,41.36997718671154,False,False
2024-08-07,901.0,920.0,893.0,920.0,59158704,943.14,,False,46.78449150945531,False,False
2024-08-08,901.0,905.0,887.0,896.0,38236391,943.68,,False,44.149946863564544,False,False
2024-08-09,927.0,934.0,922.0,934.0,49494621,945.06,,False,49.042841769757416,False,False
2024-08-12,942.0,948.0,931.0,940.0,38331663,946.72,,False,49.79080100209508,False,False
2024-08-13,945.0,945.0,937.0,941.0,25764381,948.78,,False,49.922731981844024,False,False
2024-08-14,951.0,955.0,945.0,948.0,36780856,951.32,,False,50.895408256259316,False,False
2024-08-15,945.0,950.0,941.0,943.0,19476402,953.26,,False,50.14616631691105,False,False
2024-08-16,963.0,969.0,958.0,969.0,44062316,955.86,,False,53.943045038461435,False,False
2024-08-19,969.0,975.0,964.0,973.0,21348863,958.24,,False,54.51696186525113,False,False
2024-08-20,977.0,977.0,968.0,973.0,24039959,959.82,,False,54.51696186525113,False,False
2024-08-21,961.0,964.0,956.0,958.0,29758188,961.4,,False,51.71433478629431,False,False
2024-08-22,958.0,964.0,948.0,951.0,24349754,962.76,,False,50.41189353400444,False,False
2024-08-23,944.0,952.0,939.0,949.0,27592153,963.56,,False,50.024239476218334,False,False
2024-08-26,957.0,961.0,945.0,950.0,25057581,964.18,,False,50.230317122381734,False,False
2024-08-27,945.0,946.0,940.0,942.0,18693037,964.58,,False,48.507056112794174,False,False
2024-08-28,945.0,964.0,943.0,964.0,31059233,965.44,,False,53.256311243057205,False,False
2024-08-29,942.0,947.0,937.0,943.0,43530708,965.44,,False,48.6442934309706,False,False
2024-08-30,944.0,952.0,941.0,944.0,63834981,964.7,,False,48.87135808731776,False,False
2024-09-02,950.0,955.0,943.0,948.0,18646835,964.04,,False,49.82695764862932,False,False
2024-09-03,948.0,952.0,939.0,940.0,19547575,963.44,,False,47.89876390388973,False,False
2024-09-04,894.0,905.0,888.0,889.0,79709021,962.42,,False,37.84443300296253,False,False
2024-09-05,907.0,915.0,900.0,902.0,30512026,961.56,,False,41.230818312729824,False,False
2024-09-06,909.0,918.0,903.0,918.0,24458336,960.72,,False,45.18891205029826,False,False
2024-09-09,892.0,900.0,891.0,899.0,35885268,959.5,,False,41.60543368649667,False,False
2024-09-10,907.0,911.0,901.0,904.0,33498628,958.26,,False,42.88892901482069,False,False
2024-09-11,906.0,906.0,900.0,901.0,18029342,956.92,,False,42.28833857944147,False,False
2024-09-12,936.0,944.0,928.0,940.0,39454846,956.52,,False,51.74801770974571,False,False
2024-09-13,955.0,955.0,939.0,947.0,25347586,955.88,,False,53.22985216091841,False,False
2024-09-16,952.0,952.0,943.0,947.0,13626239,954.72,,False,53.22985216091841,False,False
2024-09-18,945.0,948.0,933.0,941.0,28424324,953.44,,False,51.652958856054134,False,False
2024-09-19,940.0,960.0,936.0,960.0,32739630,951.94,,False,56.089109891233626,False,False
2024-09-20,981.0,982.0,971.0,973.0,60133709,950.6,,False,58.869914476870704,False,False
2024-09-23,971.0,977.0,971.0,977.0,14497067,949.24,,False,59.71527117324735,False,False
2024-09-24,976.0,987.0,971.0,987.0,26785975,947.38,,False,61.827567816645455,False,False
2024-09-25,1000.0,1005.0,998.0,1005.0,39405222,946.68,,False,65.34950124735047,False,False
2024-09-26,1010.0,1015.0,1005.0,1015.0,38321585,946.18,,False,67.16216798632689,False,False
2024-09-27,1020.0,1025.0,1000.0,1000.0,35783779,945.08,,False,61.92884656209773,False,False
2024-09-30,978.0,990.0,957.0,957.0,61603217,943.62,,False,49.920270514109724,False,True
2024-10-01,967.0,977.0,967.0,972.0,26760355,942.96,,False,53.32067496521241,False,False
2024-10-04,986.0,986.0,967.0,977.0,40934818,943.1,,False,54.431377918919154,False,False
2024-10-07,993.0,1010.0,989.0,1005.0,39667071,944.42,,False,60.14980422647641,False,False
2024-10-08,1000.0,1010.0,997.0,1010.0,30845902,945.04,,False,61.088838583799394,False,False
2024-10-09,1030.0,1035.0,1020.0,1020.0,46975717,946.96,,False,62.968324453375814,False,False
2024-10-11,1025.0,1050.0,1020.0,1045.0,43058754,948.98,,False,67.2298751490875,False,False
2024-10-14,1045.0,1055.0,1035.0,1045.0,36858874,951.08,,False,67.2298751490875,False,False
2024-10-15,1050.0,1075.0,1050.0,1070.0,42850176,953.8,,False,71.08851356693188,False,False
2024-10-16,1040.0,1070.0,1035.0,1045.0,52652149,955.5,,False,63.08849755563898,False,False
2024-10-17,1050.0,1055.0,1030.0,1035.0,54173771,958.14,,False,60.17155848474873,False,False
2024-10-18,1095.0,1100.0,1075.0,1085.0,85011961,963.54,,False,68.11074835024796,False,False
2024-10-21,1090.0,1095.0,1080.0,1085.0,36491060,967.64,,False,68.11074835024796,False,False
2024-10-22,1065.0,1075.0,1060.0,1075.0,41197877,970.74,,False,65.10073693539704,False,False
2024-10-23,1060.0,1070.0,1055.0,1060.0,31423466,974.02,,False,60.76295869814961,False,False
2024-10-24,1070.0,1075.0,1055.0,1060.0,38236996,976.54,,False,60.76295869814961,False,False
2024-10-25,1065.0,1070.0,1060.0,1065.0,22009575,979.04,,False,61.748285858944676,False,False
2024-10-28,1075.0,1080.0,1050.0,1050.0,40142324,981.22,,False,57.11449447190547,False,True
2024-10-29,1035.0,1040.0,1020.0,1040.0,45415773,983.06,,False,54.19463919846168,False,False
2024-10-30,1040.0,1055.0,1030.0,1030.0,38201984,984.8,,False,51.3666304438957,False,False
2024-11-01,996.0,1030.0,996.0,1025.0,54480255,985.92,,False,49.96276472117576,False,False
2024-11-04,1030.0,1045.0,1025.0,1040.0,26747978,987.26,,False,54.022483405372924,False,False
2024-11-05,1030.0,1055.0,1030.0,1050.0,32385622,988.8,,False,56.553256943446165,False,False
2024-11-06,1050.0,1080.0,1040.0,1060.0,55349259,990.84,,False,58.984563895958516,False,False
2024-11-07,1050.0,1075.0,1050.0,1065.0,43975446,993.12,,False,60.18431577167018,False,False
2024-11-08,1085.0,1090.0,1080.0,1090.0,37099479,995.94,,False,65.60219717734552,False,False
2024-11-11,1080.0,1090.0,1070.0,1085.0,34690205,998.64,,False,63.73425719300542,False,False
2024-11-12,1060.0,1065.0,1050.0,1050.0,51099848,1000.8,,False,52.47137158123904,False,True
2024-11-13,1045.0,1050.0,1035.0,1035.0,42331232,1002.22,,False,48.51446422300786,False,False
2024-11-14,1030.0,1040.0,1025.0,1035.0,44627940,1004.06,,False,48.514464223007856,False,False
2024-11-15,1040.0,1045.0,1030.0,1035.0,34791611,1005.88,,False,48.514464223007856,False,False
2024-11-18,1030.0,1035.0,1020.0,1025.0,31815076,1007.42,,False,45.64817707846474,False,False
2024-11-19,1030.0,1045.0,1025.0,1040.0,24349599,1009.42,,False,50.383509191546075,False,False
2024-11-20,1025.0,1025.0,1025.0,1025.0,40203197,1012.14,,False,46.06174197575296,False,False
2024-11-21,1020.0,1025.0,1010.0,1010.0,41429227,1014.3,,False,42.16657591476982,False,False
2024-11-22,1035.0,1050.0,1035.0,1040.0,25187973,1016.74,,False,51.07726041778352,False,False
2024-11-25,1045.0,1050.0,1030.0,1030.0,49566674,1019.36,,False,48.40029010728067,False,False
2024-11-26,1015.0,1020.0,1010.0,1010.0,27312402,1021.48,,False,43.490884863676975,False,False
2024-11-27,1010.0,1020.0,1000.0,1000.0,31276090,1023.46,,False,41.23852033530342,False,False
2024-11-28,1005.0,1005.0,992.0,1005.0,33689956,1024.76,,False,42.832719780981435,False,False
2024-11-29,995.0,1010.0,994.0,996.0,40094983,1025.74,,False,40.69267266966429,False,False
2024-12-02,1020.0,1040.0,1015.0,1035.0,31168404,1027.5,,False,51.90622743288001,False,False
2024-12-03,1060.0,1065.0,1055.0,1055.0,43414538,1029.78,,False,56.45337955297165,False,False
2024-12-04,1065.0,1070.0,1055.0,1070.0,33466290,1031.98,,False,59.54290171781136,False,False
2024-12-05,1070.0,1080.0,1070.0,1075.0,31425359,1034.02,,False,60.54768585579938,False,False
2024-12-06,1075.0,1080.0,1060.0,1065.0,30765288,1035.78,908.515,True,57.473296776421314,False,True
2024-12-09,1070.0,1075.0,1065.0,1075.0,22247131,1037.54,910.405,True,59.67818239104302,False,False
2024-12-10,1070.0,1075.0,1060.0,1065.0,28506584,1038.74,912.315,True,56.52224461964578,False,False
2024-12-11,1045.0,1060.0,1045.0,1045.0,25264194,1039.34,914.15,True,50.74261070620568,False,False
2024-12-12,1060.0,1065.0,1055.0,1060.0,22791260,1040.54,916.015,True,54.500416233910606,False,False
2024-12-13,1060.0,1070.0,1055.0,1065.0,20423659,1042.7,917.935,True,55.713246930416936,False,False
2024-12-16,1085.0,1085.0,1075.0,1085.0,39722392,1044.96,919.9,True,60.27471324595164,False,False
2024-12-17,1090.0,1095.0,1075.0,1075.0,37880707,1046.92,921.79,True,57.10749196743545,False,True
2024-12-18,1075.0,1090.0,1070.0,1085.0,41863190,1048.52,923.725,True,59.404716850780765,False,False
2024-12-19,1065.0,1070.0,1055.0,1070.0,42702851,1049.72,925.585,True,54.67448213387378,False,False
2024-12-20,1060.0,1060.0,1035.0,1035.0,52030520,1050.02,927.31,True,45.558689229398276,False,False
2024-12-23,1065.0,1080.0,1060.0,1080.0,30728473,1050.72,929.265,True,55.769510426282906,True,False
2024-12-24,1095.0,1095.0,1080.0,1080.0,26461906,1051.42,931.04,True,55.76951042628291,False,False
2024-12-25,1090.0,1090.0,1080.0,1085.0,15481622,1051.72,932.815,True,56.81329066231372,False,False
2024-12-26,1085.0,1090.0,1085.0,1085.0,14374900,1052.52,934.565,True,56.81329066231372,False,False
2024-12-27,1080.0,1095.0,1080.0,1090.0,24948385,1053.62,936.215,True,57.96377419228081,False,False
2024-12-30,1090.0,1095.0,1085.0,1090.0,23954634,1053.72,937.745,True,57.96377419228081,False,False
2024-12-31,1080.0,1085.0,1075.0,1075.0,28397820,1053.52,939.29,True,53.04698468445351,False,False
2025-01-02,1070.0,1075.0,1055.0,1065.0,43177098,1053.32,940.765,True,50.00186353878934,False,False
2025-01-03,1080.0,1085.0,1075.0,1075.0,30415096,1053.62,942.245,True,52.91279176961629,False,False
2025-01-06,1100.0,1125.0,1095.0,1125.0,69289786,1054.92,943.95,True,64.15124309184623,False,False
2025-01-07,1150.0,1160.0,1130.0,1130.0,48758688,1056.22,945.835,True,65.04958275486054,False,False
2025-01-08,1110.0,1130.0,1105.0,1105.0,45211419,1057.32,947.54,True,57.315744266283254,False,True
2025-01-09,1100.0,1115.0,1100.0,1100.0,27263215,1058.52,949.23,True,55.884683556933716,False,False
2025-01-10,1100.0,1110.0,1100.0,1100.0,22021522,1059.92,950.94,True,55.884683556933716,False,False
2025-01-13,1110.0,1115.0,1070.0,1075.0,56690300,1060.92,952.395,True,48.81675145941246,False,False
2025-01-14,1085.0,1090.0,1075.0,1090.0,28695247,1061.92,953.92,True,52.6835180115591,True,False
2025-01-15,1085.0,1085.0,1065.0,1065.0,35489482,1062.22,955.345,True,46.39275017022892,False,False
2025-01-16,1095.0,1115.0,1090.0,1105.0,47542962,1063.12,956.96,True,55.5402178994499,True,False
2025-01-17,1125.0,1125.0,1095.0,1120.0,59214050,1064.22,958.665,True,58.40649904193181,False,False
2025-01-20,1125.0,1135.0,1120.0,1120.0,29834528,1064.82,960.42,True,58.40649904193181,False,False
2025-01-21,1115.0,1125.0,1110.0,1120.0,21904213,1065.52,962.14,True,58.40649904193181,False,False
2025-01-22,1140.0,1150.0,1135.0,1135.0,42960405,1067.22,963.965,True,61.50604474091161,False,False
2025-02-03,1065.0,1075.0,1060.0,1070.0,97946226,1067.92,965.365,True,45.63576225920776,False,True
2025-02-04,1085.0,1100.0,1080.0,1095.0,53308108,1069.12,966.94,True,50.88495739490844,True,False
2025-02-05,1110.0,1120.0,1105.0,1110.0,40385340,1070.62,968.575,True,53.769293578140676,False,False
2025-02-06,1120.0,1120.0,1105.0,1115.0,29971252,1072.42,970.055,True,54.72376964370231,False,False
2025-02-07,1110.0,1125.0,1105.0,1125.0,27883220,1074.12,971.605,True,56.65140217089294,False,False
2025-02-10,1125.0,1125.0,1095.0,1105.0,28527108,1075.72,973.03,True,51.89283642750232,False,False
2025-02-11,1110.0,1115.0,1100.0,1110.0,18898928,1077.72,974.49,True,52.95670465411138,False,False
2025-02-12,1110.0,1115.0,1100.0,1100.0,24172954,1078.92,975.96,True,50.548988768840346,False,False
2025-02-13,1090.0,1095.0,1080.0,1090.0,33210403,1080.12,977.47,True,48.189482002392545,False,False
2025-02-14,1065.0,1070.0,1060.0,1060.0,64486940,1081.12,978.75,True,41.87459842195456,False,False
2025-02-17,1065.0,1085.0,1065.0,1085.0,35491271,1082.82,980.155,True,47.99098789660747,False,False
2025-02-18,1085.0,1100.0,1080.0,1100.0,21616188,1084.72,981.905,True,51.30211033985633,True,False
2025-02-19,1090.0,1095.0,1085.0,1090.0,26400293,1086.6,983.645,True,49.05970068330576,False,False
2025-02-20,1080.0,1085.0,1070.0,1080.0,29643124,1087.5,985.275,True,46.85417216883059,False,False
2025-02-21,1085.0,1095.0,1080.0,1095.0,28972910,1088.3,986.835,True,50.45238215454363,True,False
2025-02-24,1080.0,1085.0,1075.0,1075.0,30822970,1088.4,988.38,True,45.98215052637865,False,False
2025-02-25,1055.0,1060.0,1050.0,1055.0,45158522,1088.0,989.745,True,41.97678457032215,False,False
2025-02-26,1045.0,1060.0,1045.0,1060.0,36768449,1087.9,991.07,True,43.30635693760304,False,False
2025-02-27,1065.0,1065.0,1040.0,1040.0,55283596,1087.2,992.32,True,39.415690470439365,False,False
2025-03-03,1000.0,1020.0,1000.0,1020.0,65621663,1086.3,993.56,True,35.93858395125065,False,False
2025-03-04,996.0,1010.0,996.0,1000.0,64569262,1085.4,994.66,True,32.82055947653585,False,False
