"symbol","name","market"
"2330","台積電","TSE"
"2337","旺宏","TSE"
"2408","南亞科","TSE"
"2344","華邦電","TSE"
"2308","台達電","TSE"
"3037","欣興","TSE"
"2454","聯發科","TSE"
"2313","華通","TSE"
"2317","鴻海","TSE"
"6770","力積電","TSE"
"2383","台光電","TSE"
"2345","智邦","TSE"
"1303","南亞","TSE"
"3665","貿聯-KY","TSE"
"3189","景碩","TSE"
"7769","鴻勁","TSE"
"2368","金像電","TSE"
"0050","元大台灣50","TSE"
"8046","南電","TSE"
"2409","友達","TSE"
"3711","日月光投控","TSE"
"2449","京元電子","TSE"
"2455","全新","TSE"
"3661","世芯-KY","TSE"
"2301","光寶科","TSE"
"3481","群創","TSE"
"3653","健策","TSE"
"2303","聯電","TSE"
"3017","奇鋐","TSE"
"8996","高力","TSE"
"2382","廣達","TSE"
"0056","元大高股息","TSE"
"2327","國巨*","TSE"
"1802","台玻","TSE"
"1519","華城","TSE"
"3231","緯創","TSE"
"2367","燿華","TSE"
"6285","啟碁","TSE"
"6669","緯穎","TSE"
"3443","創意","TSE"
"0052","富邦科技","TSE"
"6415","矽力*-KY","TSE"
"1795","美時","TSE"
"8021","尖點","TSE"
"3167","大量","TSE"
"2489","瑞軒","TSE"
"6213","聯茂","TSE"
"3036","文曄","TSE"
"8110","華東","TSE"
"8210","勤誠","TSE"