rsi_period,buy_rsi,sell_rsi,cooldown_bars,trend_mode,sma_fast,sma_slow,trade_count,win_rate_pct,total_return_pct,max_drawdown_pct,sharpe,report
14,35,55,0,both,50,200,1,0.0,-2.04,-2.04,-0.77,reports/scan_tmp/report_2330_p14_b35_s55_c0_tboth.md
14,35,55,0,sma_cross,50,200,6,16.67,-7.59,-9.9,-1.07,reports/scan_tmp/report_2330_p14_b35_s55_c0_tsma_cross.md
14,35,55,0,close_above_slow,50,200,1,0.0,-2.04,-2.04,-0.77,reports/scan_tmp/report_2330_p14_b35_s55_c0_tclose_above_slow.md
14,35,55,2,both,50,200,1,0.0,-2.04,-2.04,-0.77,reports/scan_tmp/report_2330_p14_b35_s55_c2_tboth.md
14,35,55,2,sma_cross,50,200,5,20.0,-5.81,-8.16,-0.86,reports/scan_tmp/report_2330_p14_b35_s55_c2_tsma_cross.md
14,35,55,2,close_above_slow,50,200,1,0.0,-2.04,-2.04,-0.77,reports/scan_tmp/report_2330_p14_b35_s55_c2_tclose_above_slow.md
14,35,55,3,both,50,200,1,0.0,-2.04,-2.04,-0.77,reports/scan_tmp/report_2330_p14_b35_s55_c3_tboth.md
14,35,55,3,sma_cross,50,200,5,20.0,-5.81,-8.16,-0.86,reports/scan_tmp/report_2330_p14_b35_s55_c3_tsma_cross.md
14,35,55,3,close_above_slow,50,200,1,0.0,-2.04,-2.04,-0.77,reports/scan_tmp/report_2330_p14_b35_s55_c3_tclose_above_slow.md
14,35,55,5,both,50,200,1,0.0,-2.04,-2.04,-0.77,reports/scan_tmp/report_2330_p14_b35_s55_c5_tboth.md
14,35,55,5,sma_cross,50,200,3,0.0,-5.28,-5.28,-1.24,reports/scan_tmp/report_2330_p14_b35_s55_c5_tsma_cross.md
14,35,55,5,close_above_slow,50,200,1,0.0,-2.04,-2.04,-0.77,reports/scan_tmp/report_2330_p14_b35_s55_c5_tclose_above_slow.md
14,35,60,0,both,50,200,1,0.0,-2.04,-2.04,-0.77,reports/scan_tmp/report_2330_p14_b35_s60_c0_tboth.md
14,35,60,0,sma_cross,50,200,6,16.67,-7.59,-9.9,-1.07,reports/scan_tmp/report_2330_p14_b35_s60_c0_tsma_cross.md
14,35,60,0,close_above_slow,50,200,1,0.0,-2.04,-2.04,-0.77,reports/scan_tmp/report_2330_p14_b35_s60_c0_tclose_above_slow.md
14,35,60,2,both,50,200,1,0.0,-2.04,-2.04,-0.77,reports/scan_tmp/report_2330_p14_b35_s60_c2_tboth.md
14,35,60,2,sma_cross,50,200,5,20.0,-5.81,-8.16,-0.86,reports/scan_tmp/report_2330_p14_b35_s60_c2_tsma_cross.md
14,35,60,2,close_above_slow,50,200,1,0.0,-2.04,-2.04,-0.77,reports/scan_tmp/report_2330_p14_b35_s60_c2_tclose_above_slow.md
14,35,60,3,both,50,200,1,0.0,-2.04,-2.04,-0.77,reports/scan_tmp/report_2330_p14_b35_s60_c3_tboth.md
14,35,60,3,sma_cross,50,200,5,20.0,-5.81,-8.16,-0.86,reports/scan_tmp/report_2330_p14_b35_s60_c3_tsma_cross.md
14,35,60,3,close_above_slow,50,200,1,0.0,-2.04,-2.04,-0.77,reports/scan_tmp/report_2330_p14_b35_s60_c3_tclose_above_slow.md
14,35,60,5,both,50,200,1,0.0,-2.04,-2.04,-0.77,reports/scan_tmp/report_2330_p14_b35_s60_c5_tboth.md
14,35,60,5,sma_cross,50,200,3,0.0,-5.28,-5.28,-1.24,reports/scan_tmp/report_2330_p14_b35_s60_c5_tsma_cross.md
14,35,60,5,close_above_slow,50,200,1,0.0,-2.04,-2.04,-0.77,reports/scan_tmp/report_2330_p14_b35_s60_c5_tclose_above_slow.md
14,35,65,0,both,50,200,1,0.0,-2.04,-2.04,-0.77,reports/scan_tmp/report_2330_p14_b35_s65_c0_tboth.md
14,35,65,0,sma_cross,50,200,6,16.67,-7.59,-9.9,-1.07,reports/scan_tmp/report_2330_p14_b35_s65_c0_tsma_cross.md
14,35,65,0,close_above_slow,50,200,1,0.0,-2.04,-2.04,-0.77,reports/scan_tmp/report_2330_p14_b35_s65_c0_tclose_above_slow.md
14,35,65,2,both,50,200,1,0.0,-2.04,-2.04,-0.77,reports/scan_tmp/report_2330_p14_b35_s65_c2_tboth.md
14,35,65,2,sma_cross,50,200,5,20.0,-5.81,-8.16,-0.86,reports/scan_tmp/report_2330_p14_b35_s65_c2_tsma_cross.md
14,35,65,2,close_above_slow,50,200,1,0.0,-2.04,-2.04,-0.77,reports/scan_tmp/report_2330_p14_b35_s65_c2_tclose_above_slow.md
14,35,65,3,both,50,200,1,0.0,-2.04,-2.04,-0.77,reports/scan_tmp/report_2330_p14_b35_s65_c3_tboth.md
14,35,65,3,sma_cross,50,200,5,20.0,-5.81,-8.16,-0.86,reports/scan_tmp/report_2330_p14_b35_s65_c3_tsma_cross.md
14,35,65,3,close_above_slow,50,200,1,0.0,-2.04,-2.04,-0.77,reports/scan_tmp/report_2330_p14_b35_s65_c3_tclose_above_slow.md
14,35,65,5,both,50,200,1,0.0,-2.04,-2.04,-0.77,reports/scan_tmp/report_2330_p14_b35_s65_c5_tboth.md
14,35,65,5,sma_cross,50,200,3,0.0,-5.28,-5.28,-1.24,reports/scan_tmp/report_2330_p14_b35_s65_c5_tsma_cross.md
14,35,65,5,close_above_slow,50,200,1,0.0,-2.04,-2.04,-0.77,reports/scan_tmp/report_2330_p14_b35_s65_c5_tclose_above_slow.md
14,40,55,0,both,50,200,0,0.0,0.0,0.0,0.0,reports/scan_tmp/report_2330_p14_b40_s55_c0_tboth.md
14,40,55,0,sma_cross,50,200,3,0.0,-6.61,-6.61,-1.26,reports/scan_tmp/report_2330_p14_b40_s55_c0_tsma_cross.md
14,40,55,0,close_above_slow,50,200,0,0.0,0.0,0.0,0.0,reports/scan_tmp/report_2330_p14_b40_s55_c0_tclose_above_slow.md
14,40,55,2,both,50,200,0,0.0,0.0,0.0,0.0,reports/scan_tmp/report_2330_p14_b40_s55_c2_tboth.md
14,40,55,2,sma_cross,50,200,3,0.0,-6.61,-6.61,-1.26,reports/scan_tmp/report_2330_p14_b40_s55_c2_tsma_cross.md
14,40,55,2,close_above_slow,50,200,0,0.0,0.0,0.0,0.0,reports/scan_tmp/report_2330_p14_b40_s55_c2_tclose_above_slow.md
14,40,55,3,both,50,200,0,0.0,0.0,0.0,0.0,reports/scan_tmp/report_2330_p14_b40_s55_c3_tboth.md
14,40,55,3,sma_cross,50,200,2,0.0,-5.1,-5.1,-1.04,reports/scan_tmp/report_2330_p14_b40_s55_c3_tsma_cross.md
14,40,55,3,close_above_slow,50,200,0,0.0,0.0,0.0,0.0,reports/scan_tmp/report_2330_p14_b40_s55_c3_tclose_above_slow.md
14,40,55,5,both,50,200,0,0.0,0.0,0.0,0.0,reports/scan_tmp/report_2330_p14_b40_s55_c5_tboth.md
14,40,55,5,sma_cross,50,200,2,0.0,-5.1,-5.1,-1.04,reports/scan_tmp/report_2330_p14_b40_s55_c5_tsma_cross.md
14,40,55,5,close_above_slow,50,200,0,0.0,0.0,0.0,0.0,reports/scan_tmp/report_2330_p14_b40_s55_c5_tclose_above_slow.md
14,40,60,0,both,50,200,0,0.0,0.0,0.0,0.0,reports/scan_tmp/report_2330_p14_b40_s60_c0_tboth.md
14,40,60,0,sma_cross,50,200,3,0.0,-6.61,-6.61,-1.26,reports/scan_tmp/report_2330_p14_b40_s60_c0_tsma_cross.md
14,40,60,0,close_above_slow,50,200,0,0.0,0.0,0.0,0.0,reports/scan_tmp/report_2330_p14_b40_s60_c0_tclose_above_slow.md
14,40,60,2,both,50,200,0,0.0,0.0,0.0,0.0,reports/scan_tmp/report_2330_p14_b40_s60_c2_tboth.md
14,40,60,2,sma_cross,50,200,3,0.0,-6.61,-6.61,-1.26,reports/scan_tmp/report_2330_p14_b40_s60_c2_tsma_cross.md
14,40,60,2,close_above_slow,50,200,0,0.0,0.0,0.0,0.0,reports/scan_tmp/report_2330_p14_b40_s60_c2_tclose_above_slow.md
14,40,60,3,both,50,200,0,0.0,0.0,0.0,0.0,reports/scan_tmp/report_2330_p14_b40_s60_c3_tboth.md
14,40,60,3,sma_cross,50,200,2,0.0,-5.1,-5.1,-1.04,reports/scan_tmp/report_2330_p14_b40_s60_c3_tsma_cross.md
14,40,60,3,close_above_slow,50,200,0,0.0,0.0,0.0,0.0,reports/scan_tmp/report_2330_p14_b40_s60_c3_tclose_above_slow.md
14,40,60,5,both,50,200,0,0.0,0.0,0.0,0.0,reports/scan_tmp/report_2330_p14_b40_s60_c5_tboth.md
14,40,60,5,sma_cross,50,200,2,0.0,-5.1,-5.1,-1.04,reports/scan_tmp/report_2330_p14_b40_s60_c5_tsma_cross.md
14,40,60,5,close_above_slow,50,200,0,0.0,0.0,0.0,0.0,reports/scan_tmp/report_2330_p14_b40_s60_c5_tclose_above_slow.md
14,40,65,0,both,50,200,0,0.0,0.0,0.0,0.0,reports/scan_tmp/report_2330_p14_b40_s65_c0_tboth.md
14,40,65,0,sma_cross,50,200,3,0.0,-6.61,-6.61,-1.26,reports/scan_tmp/report_2330_p14_b40_s65_c0_tsma_cross.md
14,40,65,0,close_above_slow,50,200,0,0.0,0.0,0.0,0.0,reports/scan_tmp/report_2330_p14_b40_s65_c0_tclose_above_slow.md
14,40,65,2,both,50,200,0,0.0,0.0,0.0,0.0,reports/scan_tmp/report_2330_p14_b40_s65_c2_tboth.md
14,40,65,2,sma_cross,50,200,3,0.0,-6.61,-6.61,-1.26,reports/scan_tmp/report_2330_p14_b40_s65_c2_tsma_cross.md
14,40,65,2,close_above_slow,50,200,0,0.0,0.0,0.0,0.0,reports/scan_tmp/report_2330_p14_b40_s65_c2_tclose_above_slow.md
14,40,65,3,both,50,200,0,0.0,0.0,0.0,0.0,reports/scan_tmp/report_2330_p14_b40_s65_c3_tboth.md
14,40,65,3,sma_cross,50,200,2,0.0,-5.1,-5.1,-1.04,reports/scan_tmp/report_2330_p14_b40_s65_c3_tsma_cross.md
14,40,65,3,close_above_slow,50,200,0,0.0,0.0,0.0,0.0,reports/scan_tmp/report_2330_p14_b40_s65_c3_tclose_above_slow.md
14,40,65,5,both,50,200,0,0.0,0.0,0.0,0.0,reports/scan_tmp/report_2330_p14_b40_s65_c5_tboth.md
14,40,65,5,sma_cross,50,200,2,0.0,-5.1,-5.1,-1.04,reports/scan_tmp/report_2330_p14_b40_s65_c5_tsma_cross.md
14,40,65,5,close_above_slow,50,200,0,0.0,0.0,0.0,0.0,reports/scan_tmp/report_2330_p14_b40_s65_c5_tclose_above_slow.md
14,45,55,0,both,50,200,3,0.0,-7.23,-8.36,-0.81,reports/scan_tmp/report_2330_p14_b45_s55_c0_tboth.md
14,45,55,0,sma_cross,50,200,3,0.0,-7.23,-8.36,-0.81,reports/scan_tmp/report_2330_p14_b45_s55_c0_tsma_cross.md
14,45,55,0,close_above_slow,50,200,3,0.0,-7.23,-8.36,-0.81,reports/scan_tmp/report_2330_p14_b45_s55_c0_tclose_above_slow.md
14,45,55,2,both,50,200,3,0.0,-7.23,-8.36,-0.81,reports/scan_tmp/report_2330_p14_b45_s55_c2_tboth.md
14,45,55,2,sma_cross,50,200,3,0.0,-7.23,-8.36,-0.81,reports/scan_tmp/report_2330_p14_b45_s55_c2_tsma_cross.md
14,45,55,2,close_above_slow,50,200,3,0.0,-7.23,-8.36,-0.81,reports/scan_tmp/report_2330_p14_b45_s55_c2_tclose_above_slow.md
14,45,55,3,both,50,200,2,0.0,-6.35,-7.5,-0.81,reports/scan_tmp/report_2330_p14_b45_s55_c3_tboth.md
14,45,55,3,sma_cross,50,200,2,0.0,-6.35,-7.5,-0.81,reports/scan_tmp/report_2330_p14_b45_s55_c3_tsma_cross.md
14,45,55,3,close_above_slow,50,200,2,0.0,-6.35,-7.5,-0.81,reports/scan_tmp/report_2330_p14_b45_s55_c3_tclose_above_slow.md
14,45,55,5,both,50,200,2,0.0,-6.35,-7.5,-0.81,reports/scan_tmp/report_2330_p14_b45_s55_c5_tboth.md
14,45,55,5,sma_cross,50,200,2,0.0,-6.35,-7.5,-0.81,reports/scan_tmp/report_2330_p14_b45_s55_c5_tsma_cross.md
14,45,55,5,close_above_slow,50,200,2,0.0,-6.35,-7.5,-0.81,reports/scan_tmp/report_2330_p14_b45_s55_c5_tclose_above_slow.md
14,45,60,0,both,50,200,3,0.0,-7.23,-8.36,-0.81,reports/scan_tmp/report_2330_p14_b45_s60_c0_tboth.md
14,45,60,0,sma_cross,50,200,3,0.0,-7.23,-8.36,-0.81,reports/scan_tmp/report_2330_p14_b45_s60_c0_tsma_cross.md
14,45,60,0,close_above_slow,50,200,3,0.0,-7.23,-8.36,-0.81,reports/scan_tmp/report_2330_p14_b45_s60_c0_tclose_above_slow.md
14,45,60,2,both,50,200,3,0.0,-7.23,-8.36,-0.81,reports/scan_tmp/report_2330_p14_b45_s60_c2_tboth.md
14,45,60,2,sma_cross,50,200,3,0.0,-7.23,-8.36,-0.81,reports/scan_tmp/report_2330_p14_b45_s60_c2_tsma_cross.md
14,45,60,2,close_above_slow,50,200,3,0.0,-7.23,-8.36,-0.81,reports/scan_tmp/report_2330_p14_b45_s60_c2_tclose_above_slow.md
14,45,60,3,both,50,200,2,0.0,-6.35,-7.5,-0.81,reports/scan_tmp/report_2330_p14_b45_s60_c3_tboth.md
14,45,60,3,sma_cross,50,200,2,0.0,-6.35,-7.5,-0.81,reports/scan_tmp/report_2330_p14_b45_s60_c3_tsma_cross.md
14,45,60,3,close_above_slow,50,200,2,0.0,-6.35,-7.5,-0.81,reports/scan_tmp/report_2330_p14_b45_s60_c3_tclose_above_slow.md
14,45,60,5,both,50,200,2,0.0,-6.35,-7.5,-0.81,reports/scan_tmp/report_2330_p14_b45_s60_c5_tboth.md
14,45,60,5,sma_cross,50,200,2,0.0,-6.35,-7.5,-0.81,reports/scan_tmp/report_2330_p14_b45_s60_c5_tsma_cross.md
14,45,60,5,close_above_slow,50,200,2,0.0,-6.35,-7.5,-0.81,reports/scan_tmp/report_2330_p14_b45_s60_c5_tclose_above_slow.md
14,45,65,0,both,50,200,3,0.0,-7.23,-8.36,-0.81,reports/scan_tmp/report_2330_p14_b45_s65_c0_tboth.md
14,45,65,0,sma_cross,50,200,3,0.0,-7.23,-8.36,-0.81,reports/scan_tmp/report_2330_p14_b45_s65_c0_tsma_cross.md
14,45,65,0,close_above_slow,50,200,3,0.0,-7.23,-8.36,-0.81,reports/scan_tmp/report_2330_p14_b45_s65_c0_tclose_above_slow.md
14,45,65,2,both,50,200,3,0.0,-7.23,-8.36,-0.81,reports/scan_tmp/report_2330_p14_b45_s65_c2_tboth.md
14,45,65,2,sma_cross,50,200,3,0.0,-7.23,-8.36,-0.81,reports/scan_tmp/report_2330_p14_b45_s65_c2_tsma_cross.md
14,45,65,2,close_above_slow,50,200,3,0.0,-7.23,-8.36,-0.81,reports/scan_tmp/report_2330_p14_b45_s65_c2_tclose_above_slow.md
14,45,65,3,both,50,200,2,0.0,-6.35,-7.5,-0.81,reports/scan_tmp/report_2330_p14_b45_s65_c3_tboth.md
14,45,65,3,sma_cross,50,200,2,0.0,-6.35,-7.5,-0.81,reports/scan_tmp/report_2330_p14_b45_s65_c3_tsma_cross.md
14,45,65,3,close_above_slow,50,200,2,0.0,-6.35,-7.5,-0.81,reports/scan_tmp/report_2330_p14_b45_s65_c3_tclose_above_slow.md
14,45,65,5,both,50,200,2,0.0,-6.35,-7.5,-0.81,reports/scan_tmp/report_2330_p14_b45_s65_c5_tboth.md
14,45,65,5,sma_cross,50,200,2,0.0,-6.35,-7.5,-0.81,reports/scan_tmp/report_2330_p14_b45_s65_c5_tsma_cross.md
14,45,65,5,close_above_slow,50,200,2,0.0,-6.35,-7.5,-0.81,reports/scan_tmp/report_2330_p14_b45_s65_c5_tclose_above_slow.md
14,50,55,0,both,50,200,9,33.33,12.44,-16.67,0.56,reports/scan_tmp/report_2330_p14_b50_s55_c0_tboth.md
14,50,55,0,sma_cross,50,200,9,33.33,12.44,-16.67,0.56,reports/scan_tmp/report_2330_p14_b50_s55_c0_tsma_cross.md
14,50,55,0,close_above_slow,50,200,9,33.33,12.44,-16.67,0.56,reports/scan_tmp/report_2330_p14_b50_s55_c0_tclose_above_slow.md
14,50,55,2,both,50,200,6,16.67,12.34,-14.9,0.58,reports/scan_tmp/report_2330_p14_b50_s55_c2_tboth.md
14,50,55,2,sma_cross,50,200,6,16.67,12.34,-14.9,0.58,reports/scan_tmp/report_2330_p14_b50_s55_c2_tsma_cross.md
14,50,55,2,close_above_slow,50,200,6,16.67,12.34,-14.9,0.58,reports/scan_tmp/report_2330_p14_b50_s55_c2_tclose_above_slow.md
14,50,55,3,both,50,200,6,16.67,12.34,-14.9,0.58,reports/scan_tmp/report_2330_p14_b50_s55_c3_tboth.md
14,50,55,3,sma_cross,50,200,6,16.67,12.34,-14.9,0.58,reports/scan_tmp/report_2330_p14_b50_s55_c3_tsma_cross.md
14,50,55,3,close_above_slow,50,200,6,16.67,12.34,-14.9,0.58,reports/scan_tmp/report_2330_p14_b50_s55_c3_tclose_above_slow.md
14,50,55,5,both,50,200,6,33.33,17.95,-12.58,0.78,reports/scan_tmp/report_2330_p14_b50_s55_c5_tboth.md
14,50,55,5,sma_cross,50,200,6,33.33,17.95,-12.58,0.78,reports/scan_tmp/report_2330_p14_b50_s55_c5_tsma_cross.md
14,50,55,5,close_above_slow,50,200,6,33.33,17.95,-12.58,0.78,reports/scan_tmp/report_2330_p14_b50_s55_c5_tclose_above_slow.md
14,50,60,0,both,50,200,10,40.0,31.3,-15.19,1.03,reports/scan_tmp/report_2330_p14_b50_s60_c0_tboth.md
14,50,60,0,sma_cross,50,200,10,40.0,31.3,-15.19,1.03,reports/scan_tmp/report_2330_p14_b50_s60_c0_tsma_cross.md
14,50,60,0,close_above_slow,50,200,10,40.0,31.3,-15.19,1.03,reports/scan_tmp/report_2330_p14_b50_s60_c0_tclose_above_slow.md
14,50,60,2,both,50,200,7,42.86,35.85,-10.84,1.19,reports/scan_tmp/report_2330_p14_b50_s60_c2_tboth.md
14,50,60,2,sma_cross,50,200,7,42.86,35.85,-10.84,1.19,reports/scan_tmp/report_2330_p14_b50_s60_c2_tsma_cross.md
14,50,60,2,close_above_slow,50,200,7,42.86,35.85,-10.84,1.19,reports/scan_tmp/report_2330_p14_b50_s60_c2_tclose_above_slow.md
14,50,60,3,both,50,200,7,42.86,35.85,-10.84,1.19,reports/scan_tmp/report_2330_p14_b50_s60_c3_tboth.md
14,50,60,3,sma_cross,50,200,7,42.86,35.85,-10.84,1.19,reports/scan_tmp/report_2330_p14_b50_s60_c3_tsma_cross.md
14,50,60,3,close_above_slow,50,200,7,42.86,35.85,-10.84,1.19,reports/scan_tmp/report_2330_p14_b50_s60_c3_tclose_above_slow.md
14,50,60,5,both,50,200,7,57.14,41.63,-9.84,1.37,reports/scan_tmp/report_2330_p14_b50_s60_c5_tboth.md
14,50,60,5,sma_cross,50,200,7,57.14,41.63,-9.84,1.37,reports/scan_tmp/report_2330_p14_b50_s60_c5_tsma_cross.md
14,50,60,5,close_above_slow,50,200,7,57.14,41.63,-9.84,1.37,reports/scan_tmp/report_2330_p14_b50_s60_c5_tclose_above_slow.md
14,50,65,0,both,50,200,9,44.44,18.58,-12.69,0.72,reports/scan_tmp/report_2330_p14_b50_s65_c0_tboth.md
14,50,65,0,sma_cross,50,200,9,44.44,18.58,-12.69,0.72,reports/scan_tmp/report_2330_p14_b50_s65_c0_tsma_cross.md
14,50,65,0,close_above_slow,50,200,9,44.44,18.58,-12.69,0.72,reports/scan_tmp/report_2330_p14_b50_s65_c0_tclose_above_slow.md
14,50,65,2,both,50,200,7,42.86,20.53,-10.55,0.81,reports/scan_tmp/report_2330_p14_b50_s65_c2_tboth.md
14,50,65,2,sma_cross,50,200,7,42.86,20.53,-10.55,0.81,reports/scan_tmp/report_2330_p14_b50_s65_c2_tsma_cross.md
14,50,65,2,close_above_slow,50,200,7,42.86,20.53,-10.55,0.81,reports/scan_tmp/report_2330_p14_b50_s65_c2_tclose_above_slow.md
14,50,65,3,both,50,200,7,42.86,20.52,-10.56,0.8,reports/scan_tmp/report_2330_p14_b50_s65_c3_tboth.md
14,50,65,3,sma_cross,50,200,7,42.86,20.52,-10.56,0.8,reports/scan_tmp/report_2330_p14_b50_s65_c3_tsma_cross.md
14,50,65,3,close_above_slow,50,200,7,42.86,20.52,-10.56,0.8,reports/scan_tmp/report_2330_p14_b50_s65_c3_tclose_above_slow.md
14,50,65,5,both,50,200,7,57.14,23.09,-10.69,0.89,reports/scan_tmp/report_2330_p14_b50_s65_c5_tboth.md
14,50,65,5,sma_cross,50,200,7,57.14,23.09,-10.69,0.89,reports/scan_tmp/report_2330_p14_b50_s65_c5_tsma_cross.md
